Row Number,Date,traffic
1,1-May-15,561
2,2-May-15,444
3,3-May-15,512
4,4-May-15,617
5,5-May-15,722
6,6-May-15,996
7,7-May-15,37532
8,8-May-15,11477
9,9-May-15,5334
10,10-May-15,4087
11,11-May-15,4825
12,12-May-15,10490
13,13-May-15,7222
14,14-May-15,3813
15,15-May-15,4495
16,16-May-15,2542
17,17-May-15,1974
18,18-May-15,2654
19,19-May-15,4553
20,20-May-15,2072
21,21-May-15,1321
22,22-May-15,1137
23,23-May-15,949
24,24-May-15,953
25,25-May-15,1023
26,26-May-15,1144
27,27-May-15,1099
28,28-May-15,1309
29,29-May-15,1035
30,30-May-15,944
31,31-May-15,1108
32,1-Jun-15,1362
33,2-Jun-15,1547
34,3-Jun-15,1435
35,4-Jun-15,1135
36,5-Jun-15,937
37,6-Jun-15,815
38,7-Jun-15,968
39,8-Jun-15,1165
40,9-Jun-15,1172
41,10-Jun-15,7233
42,11-Jun-15,2344
43,12-Jun-15,1382
44,13-Jun-15,1078
45,14-Jun-15,1089
46,15-Jun-15,1299
47,16-Jun-15,1209
48,17-Jun-15,1177
49,18-Jun-15,1162
50,19-Jun-15,991
51,20-Jun-15,943
52,21-Jun-15,1022
53,22-Jun-15,1181
54,23-Jun-15,1211
55,24-Jun-15,3086
56,25-Jun-15,1871
57,26-Jun-15,1306
58,27-Jun-15,1178
59,28-Jun-15,1252
60,29-Jun-15,1198
61,30-Jun-15,1232
62,1-Jul-15,1249
63,2-Jul-15,1262
64,3-Jul-15,1044
65,4-Jul-15,954
66,5-Jul-15,1091
67,6-Jul-15,1308
68,7-Jul-15,1428
69,8-Jul-15,5704
70,9-Jul-15,3561
71,10-Jul-15,1823
72,11-Jul-15,1184
73,12-Jul-15,1331
74,13-Jul-15,3861
75,14-Jul-15,2746
76,15-Jul-15,1748
77,16-Jul-15,1465
78,17-Jul-15,1348
79,18-Jul-15,1266
80,19-Jul-15,1392
81,20-Jul-15,1522
82,21-Jul-15,1937
83,22-Jul-15,4957
84,23-Jul-15,3225
85,24-Jul-15,2133
86,25-Jul-15,1447
87,26-Jul-15,1649
88,27-Jul-15,1867
89,28-Jul-15,2237
90,29-Jul-15,6570
91,30-Jul-15,3346
92,31-Jul-15,2201
93,1-Aug-15,1692
94,2-Aug-15,1915
95,3-Aug-15,2108
96,4-Aug-15,2137
97,5-Aug-15,3566
98,6-Aug-15,3641
99,7-Aug-15,2737
100,8-Aug-15,1883
101,9-Aug-15,2115
102,10-Aug-15,2486
103,11-Aug-15,2828
104,12-Aug-15,9773
105,13-Aug-15,8096
106,14-Aug-15,3813
107,15-Aug-15,2806
108,16-Aug-15,3340
109,17-Aug-15,3511
110,18-Aug-15,3071
111,19-Aug-15,4895
112,20-Aug-15,3864
113,21-Aug-15,2908
114,22-Aug-15,2378
115,23-Aug-15,2609
116,24-Aug-15,3196
117,25-Aug-15,3442
118,26-Aug-15,7719
119,27-Aug-15,5555
120,28-Aug-15,3547
121,29-Aug-15,2835
122,30-Aug-15,3174
123,31-Aug-15,3466
124,1-Sep-15,3311
125,2-Sep-15,9978
126,3-Sep-15,6303
127,4-Sep-15,4119
128,5-Sep-15,3409
129,6-Sep-15,3320
130,7-Sep-15,3702
131,8-Sep-15,4648
132,9-Sep-15,4455
133,10-Sep-15,7648
134,11-Sep-15,4225
135,12-Sep-15,4060
136,13-Sep-15,4626
137,14-Sep-15,8676
138,15-Sep-15,8050
139,16-Sep-15,8001
140,17-Sep-15,24975
141,18-Sep-15,11150
142,19-Sep-15,6858
143,20-Sep-15,7511
144,21-Sep-15,8681
145,22-Sep-15,7844
146,23-Sep-15,9564
147,24-Sep-15,7135
148,25-Sep-15,5234
149,26-Sep-15,4518
150,27-Sep-15,5111
151,28-Sep-15,5992
152,29-Sep-15,5969
153,30-Sep-15,10286
154,1-Oct-15,7197
155,2-Oct-15,5973
156,3-Oct-15,5692
157,4-Oct-15,6590
158,5-Oct-15,7545
159,6-Oct-15,8653
160,7-Oct-15,18700
161,8-Oct-15,10723
162,9-Oct-15,8354
163,10-Oct-15,7066
164,11-Oct-15,8408
165,12-Oct-15,9217
166,13-Oct-15,9536
167,14-Oct-15,17571
168,15-Oct-15,12262
169,16-Oct-15,9641
170,17-Oct-15,8407
171,18-Oct-15,10113
172,19-Oct-15,11505
173,20-Oct-15,22667
174,21-Oct-15,20483
175,22-Oct-15,12795
176,23-Oct-15,12769
177,24-Oct-15,10097
178,25-Oct-15,12758
179,26-Oct-15,22274
180,27-Oct-15,15796
181,28-Oct-15,13381
182,29-Oct-15,10687
183,30-Oct-15,10382
184,31-Oct-15,10372
185,1-Nov-15,14919
186,2-Nov-15,17826
187,3-Nov-15,19447
188,4-Nov-15,28980
189,5-Nov-15,20545
190,6-Nov-15,17269
191,7-Nov-15,15842
192,8-Nov-15,19061
193,9-Nov-15,23904
194,10-Nov-15,21607
195,11-Nov-15,29858
196,12-Nov-15,23707
197,13-Nov-15,24337
198,14-Nov-15,21657
199,15-Nov-15,21810
200,16-Nov-15,27036
201,17-Nov-15,25887
202,18-Nov-15,21662
203,19-Nov-15,25196
204,20-Nov-15,18738
205,21-Nov-15,17545
206,22-Nov-15,18871
207,23-Nov-15,25906
208,24-Nov-15,23730
209,25-Nov-15,17482
210,26-Nov-15,23444
211,27-Nov-15,18882
212,28-Nov-15,18024
213,29-Nov-15,20037
214,30-Nov-15,34327
215,1-Dec-15,22227
