DATE,AWND,PRCP,SNOW,TMAX,TMIN
5/1/2015,5.14,0,0,63,49
5/2/2015,2.91,0,0,74,48
5/3/2015,2.46,0,0,80,51
5/4/2015,5.37,0,0,85,57
5/5/2015,4.03,0,0,85,66
5/6/2015,4.92,0,0,73,59
5/7/2015,2.24,0,0,80,56
5/8/2015,2.91,0,0,82,56
5/9/2015,4.25,0,0,70,57
5/10/2015,3.58,0,0,83,61
5/11/2015,3.8,0,0,84,70
5/12/2015,5.37,0,0,86,64
5/13/2015,7.38,0,0,70,53
5/14/2015,3.8,0,0,73,50
5/15/2015,3.36,0,0,75,55
5/16/2015,2.01,0.3,0,75,57
5/17/2015,2.01,0.02,0,83,64
5/18/2015,4.7,0,0,75,60
5/19/2015,2.46,0,0,80,59
5/20/2015,6.93,0,0,67,54
5/21/2015,2.68,0,0,62,52
5/22/2015,6.04,0,0,74,55
5/23/2015,4.47,0,0,70,49
5/24/2015,3.8,0,0,81,56
5/25/2015,4.92,0,0,85,64
5/26/2015,5.14,0,0,88,67
5/27/2015,5.14,0.08,0,85,70
5/28/2015,4.03,0,0,85,70
5/29/2015,4.03,0,0,85,65
5/30/2015,5.59,0,0,85,67
5/31/2015,5.59,1.46,0,87,57
6/1/2015,10.29,0.72,0,58,51
6/2/2015,6.26,0.37,0,55,50
6/3/2015,4.7,0,0,70,52
6/4/2015,5.14,0,0,65,54
6/5/2015,2.91,0.13,0,70,55
6/6/2015,4.7,0.19,0,76,60
6/7/2015,3.8,0,0,74,55
6/8/2015,6.04,0.06,0,79,63
6/9/2015,4.92,0.01,0,83,68
6/10/2015,3.13,0,0,82,65
6/11/2015,4.47,0,0,89,72
6/12/2015,4.47,0,0,88,73
6/13/2015,5.37,0,0,86,72
6/14/2015,2.68,0.36,0,88,66
6/15/2015,4.7,0.57,0,83,64
6/16/2015,2.24,0.27,0,79,65
6/17/2015,3.8,0,0,82,66
6/18/2015,3.58,0,0,71,64
6/19/2015,3.8,0,0,87,68
6/20/2015,5.37,0,0,75,64
6/21/2015,4.47,0.64,0,88,71
6/22/2015,4.92,0,0,87,70
6/23/2015,5.82,0.02,0,90,75
6/24/2015,4.7,0,0,84,68
6/25/2015,3.13,0,0,83,65
6/26/2015,4.47,0,0,81,69
6/27/2015,7.38,1.12,0,71,58
6/28/2015,5.37,0.29,0,73,62
6/29/2015,4.92,0,0,76,63
6/30/2015,4.92,0.04,0,82,68
7/1/2015,4.25,0.39,0,82,69
7/2/2015,1.12,0,0,80,69
7/3/2015,2.91,0,0,82,66
7/4/2015,3.36,0,0,75,69
